Probe	1H	4H	10H	20H	28H	36H	44H	48H	72H	1W	4W
Ipo9	-0.02303944	-0.089698805	0.168768217	0.323491974	0.110041792	0.80709179	1.202631169	0.902896848	0.665089749	0.277451598	0.210353327
Znhit2-ps	0.005721774	0.031446859	0.347811545	-0.066513176	0.088569311	0.522604893	0.068638538	-0.192592652	-0.103673229	-0.212189969	0.083029112
Rab43	-0.172989695	-0.583702871	0.148457667	0.150767328	0.150405031	0.334659021	-0.511964122	-0.349192109	-0.476156092	0.112111368	0.062468083
2610021K21Rik	0.003866112	-0.013466216	-0.004262214	0.069421967	0.158299585	0.582029967	1.248964594	1.121377949	0.719242388	0.193281763	0.019088676
Dhx58	-0.359575443	-0.44038136	-0.514414684	0.283876907	-0.5998432	-0.688199628	-0.450456452	-0.330273945	0.105017883	0.408192839	0.333832203
Abcc3	0.016218795	-0.298870088	-0.546831265	-0.468667906	-0.519473051	0.042251619	-0.617686448	-0.408137623	-0.551432719	-0.060898811	0.449451605
Fam69a	-0.366538611	-1.212100425	-0.894775578	-0.598562856	-0.731672078	-0.29710163	-0.421126279	-0.118198734	-0.423716612	-0.042829043	-0.121001248
SCARNA17	-0.248760816	0.069470056	-0.320908905	-0.235020484	-0.478622132	-0.228750234	-0.130707836	-0.060165212	-0.434762557	-0.796223868	-0.040092427
Ppcs	-0.56763743	-0.548138556	0.740305224	0.05761415	0.453400627	0.558523047	0.077115181	0.135752976	0.149804015	-0.046621037	0.003087053
G3bp2	0.16483383	1.164214128	0.622923273	0.710167086	0.707854977	0.633029852	1.200259621	1.114432486	1.001798899	0.812795314	0.441551618
Slc25a19	-0.251967337	0.238187394	0.206963776	0.56237067	0.224832021	0.373436691	0.936446711	0.738348963	0.579698548	0.201330576	0.081769689
Alcam	-0.119571659	-0.085060601	0.34468239	0.229522806	0.330326385	0.435443594	0.368660156	0.45082896	0.644622327	0.179767262	0.02242475
